Format Version,1.2,Take Name,Take 2020-11-20 02.03.09 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-11-20 02.03.09.792 PM,Total Frames,3643,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Marker_122,Marker_122,Marker_122,Marker_144,Marker_144,Marker_144,Marker_270,Marker_270,Marker_270,Marker_272,Marker_272,Marker_272,Marker_273,Marker_273,Marker_273,Marker_277,Marker_277,Marker_277,Marker_293,Marker_293,Marker_293,Marker_353,Marker_353,Marker_353,Marker_440,Marker_440,Marker_440,Marker_458,Marker_458,Marker_458,Marker_483,Marker_483,Marker_483,Marker_489,Marker_489,Marker_489,Marker_494,Marker_494,Marker_494,Marker_496,Marker_496,Marker_496,Marker_228,Marker_228,Marker_228,Marker_504,Marker_504,Marker_504,Marker_507,Marker_507,Marker_507,Marker_506,Marker_506,Marker_506
,,"E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C82B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","E3C843C92B6211EB54B191E53994F49D","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E35707A","8392B20CF49E35707A","8392B20CF49E35707A","8392B20CF49E357090","8392B20CF49E357090","8392B20CF49E357090","8392B20CF49E357010E","8392B20CF49E357010E","8392B20CF49E357010E","8392B20CF49E3570110","8392B20CF49E3570110","8392B20CF49E3570110","8392B20CF49E3570111","8392B20CF49E3570111","8392B20CF49E3570111","8392B20CF49E3570115","8392B20CF49E3570115","8392B20CF49E3570115","8392B20CF49E3570125","8392B20CF49E3570125","8392B20CF49E3570125","8392B20CF49E3570161","8392B20CF49E3570161","8392B20CF49E3570161","8392B20CF49E35701B8","8392B20CF49E35701B8","8392B20CF49E35701B8","8392B20CF49E35701CA","8392B20CF49E35701CA","8392B20CF49E35701CA","8392B20CF49E35701E3","8392B20CF49E35701E3","8392B20CF49E35701E3","8392B20CF49E35701E9","8392B20CF49E35701E9","8392B20CF49E35701E9","8392B20CF49E35701EE","8392B20CF49E35701EE","8392B20CF49E35701EE","8392B20CF49E35701F0","8392B20CF49E35701F0","8392B20CF49E35701F0","8392B20CF49E3570E4","8392B20CF49E3570E4","8392B20CF49E3570E4","8392B20CF49E35701F8","8392B20CF49E35701F8","8392B20CF49E35701F8","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E35701FA","8392B20CF49E35701FA","8392B20CF49E35701FA"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.143160,-0.003548,-0.067296,-0.987403,-0.355574,1.015651,0.556944,0.000216,-0.345877,0.989771,0.553079,0.922558,-0.353196,1.034545,0.555762,0.973614,-0.367648,1.022637,0.561990,0.942068,0.001409,-0.019430,0.001465,-0.999809,-0.329921,0.587790,0.590112,0.000011,-0.335077,0.606963,0.579680,0.996236,-0.323360,0.589426,0.607620,0.996807,-0.331327,0.566980,0.583036,0.998967,-0.345968,0.989760,0.553147,-0.353300,1.034358,0.555629,-0.367676,1.022949,0.562957,-0.334956,0.607059,0.579891,-0.323899,0.589445,0.608021,-0.331228,0.567074,0.583175,0.535566,0.933044,0.270693,0.507597,0.926158,0.271435,0.126340,1.100855,0.205035,0.545631,0.946261,0.259574,0.102651,0.244541,0.475493,0.108297,1.115347,0.194543,0.087818,0.275053,0.475498,0.148390,1.114280,0.199535,0.074144,0.225788,0.475148,0.143414,1.176207,0.308000,0.173554,1.169471,0.303704,0.526103,0.605576,0.630122,0.533741,0.588148,0.601501,0.524313,0.585738,0.627994,,,,,,,,,,,,
1,0.008333,0.143903,-0.002930,-0.067740,-0.987266,-0.355574,1.015657,0.556950,0.000220,-0.345845,0.989782,0.553134,0.922558,-0.353215,1.034552,0.555744,0.973614,-0.367661,1.022637,0.561972,0.942068,0.001589,-0.019423,0.001480,-0.999809,-0.329915,0.587794,0.590122,0.000014,-0.335070,0.606964,0.579683,0.996236,-0.323355,0.589436,0.607629,0.996807,-0.331321,0.566982,0.583054,0.998967,-0.345982,0.989753,0.553162,-0.353378,1.034388,0.555885,-0.367689,1.022952,0.562960,-0.334951,0.607059,0.579892,-0.323898,0.589458,0.608047,-0.331228,0.567075,0.583179,0.535578,0.933047,0.270701,0.507589,0.926154,0.271428,0.126357,1.100856,0.205025,0.545632,0.946262,0.259563,0.102694,0.244544,0.475536,0.108339,1.115358,0.194526,0.087827,0.275054,0.475491,0.148416,1.114287,0.199530,0.074129,0.225790,0.475134,0.143437,1.176220,0.308014,0.173564,1.169472,0.303718,0.526065,0.605567,0.630085,0.533701,0.588136,0.601462,0.524345,0.585735,0.628018,,,,,,,,,,,,
2,0.016667,0.143928,-0.003084,-0.067793,-0.987258,-0.355579,1.015649,0.556935,0.000224,-0.345849,0.989774,0.553118,0.929577,-0.353221,1.034544,0.555727,0.972594,-0.367665,1.022629,0.561960,0.932800,0.001449,-0.019433,0.001294,-0.999809,-0.329918,0.587787,0.590124,0.000013,-0.335080,0.606958,0.579691,0.997750,-0.323357,0.589427,0.607632,0.995762,-0.331316,0.566977,0.583050,0.996306,-0.345991,0.989741,0.553161,-0.353393,1.034377,0.555877,-0.367687,1.022945,0.562942,-0.334956,0.607056,0.579881,-0.323885,0.589441,0.608004,-0.331223,0.567071,0.583170,0.535582,0.933038,0.270694,0.507300,0.925954,0.270427,0.126423,1.100820,0.204790,0.545639,0.946259,0.259548,0.102700,0.244545,0.475538,0.108338,1.115342,0.194532,0.087827,0.275057,0.475480,0.147920,1.113902,0.198837,0.074139,0.225783,0.475139,0.143445,1.176210,0.308022,0.173539,1.169489,0.303786,0.526080,0.605571,0.630095,0.533725,0.588140,0.601478,0.524321,0.585738,0.627995,,,,,,,,,,,,
3,0.025000,0.143931,-0.002909,-0.067762,-0.987261,-0.355582,1.015655,0.556929,0.000229,-0.345851,0.989780,0.553115,0.930450,-0.353224,1.034550,0.555723,0.970539,-0.367670,1.022634,0.561950,0.931154,0.001515,-0.019321,0.001319,-0.999811,-0.329921,0.587789,0.590123,0.000018,-0.335080,0.606958,0.579686,0.996365,-0.323364,0.589430,0.607632,0.995888,-0.331319,0.566977,0.583051,0.998258,-0.345994,0.989744,0.553165,-0.353395,1.034373,0.555869,-0.367697,1.022955,0.562932,-0.334955,0.607049,0.579881,-0.323893,0.589443,0.608015,-0.331227,0.567079,0.583177,0.535001,0.932849,0.270001,0.507331,0.925966,0.270460,0.126418,1.100820,0.204838,0.545630,0.946246,0.259602,0.102707,0.244547,0.475543,0.108364,1.115350,0.194520,0.087828,0.275058,0.475492,0.148424,1.114276,0.199510,0.074136,0.225786,0.475138,0.145627,1.175775,0.305603,0.173575,1.169473,0.303747,0.526088,0.605570,0.630099,0.533727,0.588134,0.601494,0.524340,0.585731,0.628010,,,,,,,,,,,,
4,0.033333,0.144268,-0.003940,-0.068202,-0.987178,-0.355586,1.015659,0.556923,0.000212,-0.345849,0.989787,0.553110,0.925401,-0.353242,1.034554,0.555696,0.972145,-0.367668,1.022636,0.561964,0.943665,0.001516,-0.019585,0.001541,-0.999806,-0.329923,0.587791,0.590130,0.000020,-0.335078,0.606963,0.579695,0.993572,-0.323356,0.589430,0.607635,0.993757,-0.331333,0.566980,0.583059,0.997402,-0.346005,0.989741,0.553158,-0.353296,1.034349,0.555565,-0.367686,1.022940,0.562896,-0.334950,0.607054,0.579892,-0.323875,0.589449,0.608000,-0.331230,0.567074,0.583176,0.535588,0.933042,0.270717,0.507363,0.925980,0.270475,0.126438,1.100821,0.204804,0.545644,0.946265,0.259587,0.102706,0.244543,0.475552,0.108873,1.115723,0.195207,0.087833,0.275054,0.475509,0.147931,1.113920,0.198865,0.074169,0.225787,0.475184,0.145642,1.175783,0.305624,0.173546,1.169505,0.303845,0.526082,0.605566,0.630114,0.533733,0.588145,0.601504,0.524368,0.585738,0.628047,,,,,,,,,,,,
5,0.041667,0.143142,-0.003586,-0.067148,-0.987415,-0.355598,1.015652,0.556895,0.000228,-0.345909,0.989769,0.553030,0.922256,-0.353214,1.034546,0.555714,0.968300,-0.367669,1.022641,0.561942,0.938766,0.001524,-0.019427,0.001539,-0.999809,-0.329917,0.587788,0.590127,0.000015,-0.335069,0.606960,0.579691,0.995115,-0.323356,0.589428,0.607635,0.996078,-0.331325,0.566977,0.583057,0.997906,-0.346009,0.989752,0.553119,-0.353290,1.034352,0.555523,-0.367694,1.022955,0.562902,-0.334951,0.607052,0.579894,-0.323890,0.589448,0.608025,-0.331229,0.567073,0.583178,0.535584,0.933049,0.270715,0.507293,0.925947,0.270457,0.126408,1.100845,0.205028,0.545651,0.946262,0.259617,0.102734,0.244542,0.475583,0.108378,1.115341,0.194529,0.087828,0.275052,0.475514,0.147943,1.113898,0.198856,0.074141,0.225783,0.475155,0.143470,1.176194,0.308035,0.173558,1.169487,0.303823,0.526088,0.605561,0.630128,0.533721,0.588142,0.601495,0.524332,0.585744,0.628024,,,,,,,,,,,,
