Format Version,1.2,Take Name,Take 2020-09-28 01.52.27 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-09-28 01.52.27.178 PM,Total Frames,2189,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Marker_1039,Marker_1039,Marker_1039,Marker_1043,Marker_1043,Marker_1043,Marker_1045,Marker_1045,Marker_1045,Marker_1046,Marker_1046,Marker_1046,Marker_1047,Marker_1047,Marker_1047,Marker_1048,Marker_1048,Marker_1048,Marker_1042,Marker_1042,Marker_1042,Marker_1028,Marker_1028,Marker_1028,Marker_1049,Marker_1049,Marker_1049,Marker_1029,Marker_1029,Marker_1029,Marker_1050,Marker_1050,Marker_1050,Marker_1051,Marker_1051,Marker_1051,Marker_1055,Marker_1055,Marker_1055,Marker_1052,Marker_1052,Marker_1052,Marker_1053,Marker_1053,Marker_1053,Marker_1056,Marker_1056,Marker_1056,Marker_1059,Marker_1059,Marker_1059,Marker_1061,Marker_1061,Marker_1061
,,"5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","5933666701B311EB54B191E53994F49D","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E357040F","8392B20CF49E357040F","8392B20CF49E357040F","8392B20CF49E3570413","8392B20CF49E3570413","8392B20CF49E3570413","8392B20CF49E3570415","8392B20CF49E3570415","8392B20CF49E3570415","8392B20CF49E3570416","8392B20CF49E3570416","8392B20CF49E3570416","8392B20CF49E3570417","8392B20CF49E3570417","8392B20CF49E3570417","8392B20CF49E3570418","8392B20CF49E3570418","8392B20CF49E3570418","8392B20CF49E3570412","8392B20CF49E3570412","8392B20CF49E3570412","8392B20CF49E3570404","8392B20CF49E3570404","8392B20CF49E3570404","8392B20CF49E3570419","8392B20CF49E3570419","8392B20CF49E3570419","8392B20CF49E3570405","8392B20CF49E3570405","8392B20CF49E3570405","8392B20CF49E357041A","8392B20CF49E357041A","8392B20CF49E357041A","8392B20CF49E357041B","8392B20CF49E357041B","8392B20CF49E357041B","8392B20CF49E357041F","8392B20CF49E357041F","8392B20CF49E357041F","8392B20CF49E357041C","8392B20CF49E357041C","8392B20CF49E357041C","8392B20CF49E357041D","8392B20CF49E357041D","8392B20CF49E357041D","8392B20CF49E3570420","8392B20CF49E3570420","8392B20CF49E3570420","8392B20CF49E3570423","8392B20CF49E3570423","8392B20CF49E3570423","8392B20CF49E3570425","8392B20CF49E3570425","8392B20CF49E3570425"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.078411,0.247723,0.016790,-0.965507,0.091017,0.096910,0.140810,0.000903,0.108606,0.101902,0.141715,0.818066,0.088489,0.111609,0.143392,0.775373,0.075957,0.077218,0.137322,0.729587,0.108712,0.101901,0.141533,0.089429,0.112182,0.141851,0.075104,0.076739,0.138726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.078992,0.247247,0.016805,-0.965581,0.091190,0.096815,0.140620,0.000912,0.108778,0.101812,0.141514,0.815190,0.088659,0.111511,0.143221,0.772453,0.076133,0.077122,0.137124,0.728420,0.108878,0.101811,0.141340,0.089612,0.112084,0.141658,0.075271,0.076641,0.138543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.079091,0.246977,0.016803,-0.965642,0.091355,0.096721,0.140442,0.000909,0.108943,0.101720,0.141327,0.815190,0.088824,0.111416,0.143047,0.772453,0.076298,0.077027,0.136951,0.728420,0.109013,0.101711,0.141205,0.089790,0.111991,0.141461,0.075451,0.076553,0.138345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.078530,0.246953,0.016703,-0.965696,0.091532,0.096629,0.140257,0.000890,0.109120,0.101628,0.141136,0.821560,0.089002,0.111328,0.142846,0.771747,0.076473,0.076933,0.136790,0.738935,0.109182,0.101611,0.141025,0.089949,0.111906,0.141294,0.075655,0.076463,0.138134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.078129,0.246604,0.016528,-0.965820,0.091711,0.096516,0.140076,0.000863,0.109299,0.101519,0.140937,0.821560,0.089180,0.111216,0.142653,0.771747,0.076654,0.076813,0.136636,0.738935,0.109353,0.101492,0.140840,0.090098,0.111795,0.141152,0.075874,0.076351,0.137914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.076881,0.245874,0.016732,-0.966103,0.091945,0.096408,0.139814,0.000808,0.109539,0.101397,0.140636,0.842066,0.089432,0.111116,0.142362,0.786498,0.076865,0.076711,0.136445,0.765167,0.109563,0.101358,0.140587,0.090301,0.111674,0.140938,0.076153,0.076277,0.137612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,-0.077371,0.245185,0.016968,-0.966235,0.092181,0.096271,0.139571,0.000822,0.109776,0.101257,0.140372,0.842066,0.089672,0.110977,0.142137,0.786498,0.077093,0.076579,0.136202,0.765167,0.109770,0.101213,0.140374,0.090572,0.111536,0.140661,0.076375,0.076148,0.137379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.078144,0.244017,0.017641,-0.966457,0.092417,0.096097,0.139368,0.000827,0.110018,0.101069,0.140136,0.833268,0.089925,0.110799,0.141968,0.780366,0.077307,0.076422,0.136000,0.765988,0.110025,0.101036,0.140117,0.090827,0.111339,0.140486,0.076568,0.075996,0.137215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.077706,0.244337,0.018272,-0.966399,0.092650,0.095894,0.139171,0.000838,0.110258,0.100841,0.139945,0.833268,0.090179,0.110602,0.141761,0.780366,0.077513,0.076240,0.135805,0.765988,0.110340,0.100831,0.139802,0.091055,0.111135,0.140323,0.076731,0.075801,0.137094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.077794,0.243936,0.018890,-0.966482,0.092900,0.095701,0.138945,0.000888,0.110515,0.100628,0.139706,0.821805,0.090448,0.110410,0.141545,0.776044,0.077739,0.076064,0.135585,0.735892,0.110601,0.100615,0.139555,0.091373,0.110978,0.140029,0.076917,0.075599,0.136938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.077300,0.244207,0.019480,-0.966441,0.093118,0.095508,0.138778,0.000918,0.110739,0.100410,0.139543,0.821805,0.090685,0.110222,0.141367,0.776044,0.077930,0.075891,0.135424,0.735892,0.110855,0.100405,0.139342,0.091627,0.110804,0.139824,0.077070,0.075408,0.136841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
